date,time,asset,dir,session,pnl,result,phase,be,loss_reasons,exit_type,rr,risk_pct,score,ict,smc,wyc,conditions,inst_score,grade
2024-12-20,04:00,GBP,BEAR,LONDON,-911.9,LOSS,3,False,['NORMAL_SL'],SL_FULL,3.0,0.75,7,2,3,2,"['ICT_SWEEP', 'ICT_PD', 'SMC_CHOCH', 'SMC_LIQ', 'SMC_IMBAL', 'WYC_CAUSE', 'WYC_EFFORT']",53.8,C
2024-12-20,05:00,GBP,BEAR,LONDON,-934.5,LOSS,3,False,['BULLISH_CANDLE'],SL_FULL,2.5,0.75,6,2,2,2,"['ICT_SWEEP', 'ICT_PD', 'SMC_CHOCH', 'SMC_IMBAL', 'WYC_SPRING', 'WYC_CAUSE']",46.2,C
2024-12-20,05:40,GBP,BEAR,LONDON,-113.49,LOSS,3,False,['ASIAN_HIGH_BROKEN'],TP_PARTIAL_SL,3.0,0.5,8,3,3,2,"['ICT_SWEEP', 'ICT_OB', 'ICT_PD', 'SMC_CHOCH', 'SMC_LIQ', 'SMC_IMBAL', 'WYC_CAUSE', 'WYC_EFFORT']",61.5,B
2024-12-24,08:05,EUR,BULL,NEWYORK,-616.85,LOSS,3,False,['BEARISH_CANDLE'],SL_FULL,2.5,0.5,6,2,2,2,"['ICT_SWEEP', 'ICT_PD', 'SMC_CHOCH', 'SMC_IMBAL', 'WYC_CAUSE', 'WYC_EFFORT']",46.2,C
2024-12-24,10:00,GBP,BEAR,NEWYORK,429.05,WIN,3,False,[],TP_FULL,3.0,0.25,7,3,2,2,"['ICT_SWEEP', 'ICT_CISD', 'ICT_PD', 'SMC_LIQ', 'SMC_IMBAL', 'WYC_CAUSE', 'WYC_EFFORT']",53.8,C
2024-12-24,10:15,GBP,BEAR,NEWYORK,432.41,WIN,3,False,[],TP_FULL,3.0,0.25,9,5,3,1,"['ICT_SWEEP', 'ICT_FVG', 'ICT_OB', 'ICT_CISD', 'ICT_PD', 'SMC_BOS', 'SMC_LIQ', 'SMC_IMBAL', 'WYC_EFFORT']",69.2,B
2024-12-26,04:10,EUR,BULL,LONDON,772.48,WIN,3,False,[],TP_FULL,3.0,0.5,7,2,2,3,"['ICT_SWEEP', 'ICT_PD', 'SMC_LIQ', 'SMC_IMBAL', 'WYC_SPRING', 'WYC_CAUSE', 'WYC_EFFORT']",53.8,C
2024-12-26,04:15,EUR,BULL,LONDON,99.86,WIN,3,True,[],TP_PARTIAL_BE,3.0,0.5,7,4,2,1,"['ICT_SWEEP', 'ICT_OB', 'ICT_CISD', 'ICT_PD', 'SMC_BOS', 'SMC_LIQ', 'WYC_CAUSE']",53.8,C
2024-12-26,04:25,EUR,BULL,LONDON,1169.2,WIN,3,False,[],TP_FULL,3.0,0.75,7,2,3,2,"['ICT_SWEEP', 'ICT_PD', 'SMC_CHOCH', 'SMC_LIQ', 'SMC_IMBAL', 'WYC_TEST', 'WYC_EFFORT']",53.8,C
2024-12-26,04:30,EUR,BULL,LONDON,145.02,WIN,3,True,[],TP_PARTIAL_BE,3.0,0.75,7,3,2,2,"['ICT_SWEEP', 'ICT_OB', 'ICT_PD', 'SMC_LIQ', 'SMC_IMBAL', 'WYC_TEST', 'WYC_EFFORT']",53.8,C
2024-12-26,08:00,EUR,BULL,NEWYORK,-150.67,LOSS,3,True,['BE_REVERSAL'],BE_FLAT,3.0,0.75,9,5,2,2,"['ICT_SWEEP', 'ICT_FVG', 'ICT_OB', 'ICT_CISD', 'ICT_PD', 'SMC_LIQ', 'SMC_IMBAL', 'WYC_CAUSE', 'WYC_EFFORT']",69.2,B
2024-12-26,09:10,GOLD,BULL,NEWYORK,584.93,WIN,3,False,[],TP_FULL,2.5,0.75,6,2,3,1,"['ICT_SWEEP', 'ICT_PD', 'SMC_CHOCH', 'SMC_LIQ', 'SMC_IMBAL', 'WYC_EFFORT']",46.2,C
2024-12-26,09:50,EUR,BULL,NEWYORK,-19.76,LOSS,3,True,"['BE_REVERSAL', 'ASIAN_LOW_BROKEN', 'BEARISH_CANDLE']",BE_FLAT,3.0,0.75,7,2,3,2,"['ICT_SWEEP', 'ICT_PD', 'SMC_CHOCH', 'SMC_LIQ', 'SMC_IMBAL', 'WYC_CAUSE', 'WYC_EFFORT']",53.8,C
